source_concept_id,source_term,target_concept_id,target_concept_name,predicate,target_concept_id_b,target_concept_name_b,predicate_b,cleaned_term,mapped_concept_id,mapped_concept_name
35206716,"Anemia due to enzyme disorder, unspecified",444238,Anemia due to enzyme deficiency,exactMatch,601114.0,Anemia due to enzymopathy,exactMatch,Anemia due to enzyme disorder,601114,Anemia due to enzymopathy
35206744,Drug-induced aplastic anemia,4146088,Aplastic anemia due to drugs,exactMatch,,,,Drug-induced aplastic anemia,4146088,Aplastic anemia due to drugs
35207115,Amnestic disorder due to known physiological condition,36712678,Amnestic disorder associated with general medical condition,exactMatch,,,,Amnestic disorder due to known physiological condition,-1,
35207549,Other specified disorders of choroid,432620,Disorder of choroid of eye,exactMatch,,,,disorders of choroid,-1,
35207645,Rheumatic mitral stenosis with insufficiency,4301373,Rheumatic mitral stenosis with regurgitation,exactMatch,,,,Rheumatic mitral stenosis with insufficiency,4301373,Rheumatic mitral stenosis with regurgitation
35207682,Other forms of angina pectoris,321318,Angina pectoris,exactMatch,,,,angina pectoris,38001139,Angina pectoris
35207700,Other forms of acute ischemic heart disease,319844,Acute ischemic heart disease,exactMatch,,,,acute ischemic heart disease,319844,Acute ischemic heart disease
35208218,"Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation",4198381,Ulcer of duodenum,exactMatch,4209746.0,Duodenal ulcer without hemorrhage AND without perforation,exactMatch,Duodenal ulcer without hemorrhage or perforation,-1,
35208415,Other specified diseases of the digestive system,4201745,Disorder of digestive system,exactMatch,,,,diseases of the digestive system,-1,
35208494,"Anogenital pruritus, unspecified",36685964,Pruritis of skin of anogenital region,exactMatch,,,,Anogenital pruritus,36685964,Pruritis of skin of anogenital region
35208562,Drug photoallergic response,4286349,Drug-induced photosensitivity,exactMatch,4009034.0,Photoallergic dermatitis,exactMatch,Drug photoallergic response,-1,
35209145,Acquired deformity of chest and rib,40487194,Acquired deformity of chest wall,exactMatch,,,,Acquired deformity of chest and rib,-1,
35209278,"Chronic kidney disease, stage 5",443611,Chronic kidney disease stage 5,exactMatch,,,,"Chronic kidney disease, stage 5",443611,Chronic kidney disease stage 5
35209296,"Small kidney, unspecified",195861,Small kidney,exactMatch,,,,Small kidney,195861,Small kidney
35209386,Subacute and chronic vulvitis,4173450,Chronic vulvitis,broadMatch,4173450.0,Chronic vulvitis,broadMatch,Subacute and chronic vulvitis,-1,
35209457,"Noninflammatory disorder of vagina, unspecified",195867,Noninflammatory disorder of the vagina,exactMatch,,,,Noninflammatory disorder of vagina,-1,
35210412,Newborn affected by other maternal complications of pregnancy,37167889,Early neonatal disorder due to maternal disorder during pregnancy,exactMatch,,,,Newborn affected by maternal complications of pregnancy,-1,
35210484,Respiratory distress syndrome of newborn,258866,Respiratory distress syndrome in the newborn,exactMatch,,,,Respiratory distress syndrome of newborn,258866,Respiratory distress syndrome in the newborn
35210614,"Transitory disorder of carbohydrate metabolism of newborn, unspecified",441406,Disorder of fetus and/or newborn,broadMatch,,,,Transitory disorder of carbohydrate metabolism of newborn,-1,
35210756,"Congenital malformation of anterior segment of eye, unspecified",436805,Congenital anomaly of anterior segment of eye,exactMatch,,,,Congenital malformation of anterior segment of eye,-1,
35210962,Other congenital malformations of liver,444421,Congenital anomaly of liver,exactMatch,,,,congenital malformations of liver,444421,Congenital anomaly of liver
35211161,Ectodermal dysplasia (anhidrotic),134757,Ectodermal dysplasia,broadMatch,,,,Ectodermal dysplasia (anhidrotic),-1,
35225305,Family history of malignant neoplasm of digestive organs,4334494,Family history of malignant neoplasm of digestive organ,exactMatch,,,,Family history of malignant neoplasm of digestive organs,4334494,Family history of malignant neoplasm of digestive organ
35226391,AV block first degree,314379,First degree atrioventricular block,exactMatch,,,,AV block first degree,-1,
35305794,Galactosaemia,439788,Galactosemia,exactMatch,,,,Galactosaemia,439788,Galactosemia
35305997,Congenital joint malformation,4316226,Congenital anomaly of joint,exactMatch,,,,Congenital joint malformation,4316226,Congenital anomaly of joint
35306057,Hepato-lenticular degeneration,4229262,Wilson's disease,exactMatch,,,,Hepato-lenticular degeneration,-1,
35506549,Myopathy endocrine,442342,Endocrine myopathy,exactMatch,,,,Myopathy endocrine,-1,
35607013,Optic ischaemic neuropathy,373487,Ischemic optic neuropathy,exactMatch,,,,Optic ischaemic neuropathy,-1,
35607283,Miller Fisher syndrome,4070552,Fisher's syndrome,exactMatch,,,,Miller Fisher syndrome,4070552,Fisher's syndrome
35634774,Squint,4329707,Strabismus,exactMatch,,,,Squint,4329707,Strabismus
35707597,Gastric cyst,37109182,Cyst of stomach,exactMatch,,,,Gastric cyst,37109182,Cyst of stomach
35708029,Peritoneal infection,443796,Infectious peritonitis,exactMatch,,,,Peritoneal infection,-1,
35708587,Foot and mouth disease,4141481,Hand foot and mouth disease,exactMatch,,,,Foot and mouth disease,42574126,Foot and mouth disease
35738840,Partial small intestinal obstruction,4181798,Partial obstruction of small bowel,exactMatch,,,,Partial small intestinal obstruction,-1,
35739339,Colonic perforation,4177183,Perforation of colon,exactMatch,,,,Colonic perforation,4177183,Perforation of colon
35843794,Healing delayed,37312235,Delayed healing of wound,exactMatch,,,,Healing delayed,-1,
36045304,Systemic anaphylaxis,441202,Anaphylaxis,exactMatch,,,,Systemic anaphylaxis,441202,Anaphylaxis
36110511,Induced abortion infection,43530964,Induced termination of pregnancy complicated by infectious disease,exactMatch,,,,Induced abortion infection,-1,
36110888,Epstein-Barr virus infection,4345472,Epstein-Barr virus disease,exactMatch,,,,Epstein-Barr virus infection,-1,
36251346,Broken ankle,4059173,Fracture of ankle,exactMatch,,,,Broken ankle,-1,
36315364,Respiratory rate increased,317376,Tachypnea,exactMatch,,,,Respiratory rate increased,-1,
36569193,Effusion (l) knee,36684501,Effusion of joint of left knee,exactMatch,,,,Effusion (l) knee,-1,
36672513,Carcinoma uterine cervix in situ,194611,Carcinoma in situ of uterine cervix,exactMatch,,,,Carcinoma uterine cervix in situ,-1,
36774769,Progression of multiple sclerosis,37311816,Progressive multiple sclerosis,exactMatch,,,,Progression of multiple sclerosis,-1,
36774872,Migraine type headaches,318736,Migraine,exactMatch,,,,Migraine type headaches,-1,
36818761,Neonatal respiratory distress syndrome,258866,Respiratory distress syndrome in the newborn,exactMatch,,,,Neonatal respiratory distress syndrome,258866,Respiratory distress syndrome in the newborn
36919008,Poverty of thought content,4209458,Poverty of thought,exactMatch,,,,Poverty of thought content,-1,
36919045,Emotional disorder,4305081,Emotional problems,exactMatch,444100.0,Mood disorder,exactMatch,Emotional disorder,-1,
36919053,Affective disorder,444100,Mood disorder,exactMatch,,,,Affective disorder,444100,Mood disorder
36919162,"Schizophrenia, paranoid type",433450,Paranoid schizophrenia,exactMatch,,,,"Schizophrenia, paranoid type",-1,
37080642,Nephrotic syndrome with lesion of proliferative glomerulonephritis,197319,Nephrotic syndrome with proliferative glomerulonephritis,exactMatch,,,,Nephrotic syndrome with lesion of proliferative glomerulonephritis,-1,
37081344,"Acute nephritic syndrome, Other",4189531,Acute nephritis,exactMatch,4298809.0,Nephritic syndrome,broadMatch,Acute nephritic syndrome,4189531,Acute nephritis
37081600,Neoplasm of uncertain or unknown behaviour: Ovary,200675,Neoplasm of uncertain behavior of ovary,exactMatch,,,,Neoplasm of uncertain or unknown behaviour: Ovary,-1,
37081789,Other specified salmonella infections,133685,Salmonella infection,exactMatch,,,,salmonella infections,133685,Salmonella infection
37082072,"Malnutrition-related diabetes mellitus, with coma",4221933,Coma due to malnutrition-related diabetes mellitus,exactMatch,,,,"Malnutrition-related diabetes mellitus, with coma",-1,
37082094,Diabetes mellitus in connection with deficient nutrition or malnutritionwith multiple complications: Not described as derailed,37160913,Disorder due to malnutrition related diabetes mellitus,broadMatch,,,,"Diabetes mellitus due to malnutrition, with multiple complications",-1,
37082127,Other specified diabetes mellitus: With peripheral vascular complications: Not reported as derailed,321822,Peripheral vascular disorder due to diabetes mellitus,exactMatch,,,,diabetes mellitus with peripheral vascular complications,-1,
37082661,"Mental and behavioural disorders due to use of cannabinoids, withdrawal state with delirium",4220197,Cannabis intoxication delirium,exactMatch,4220197.0,Cannabis intoxication delirium,broadMatch,"Mental and behavioural disorders due to use of cannabinoids, withdrawal state with delirium",-1,
37082830,Specific (isolated) phobias,4182847,Simple phobia,exactMatch,,,,Specific (isolated) phobias,-1,
37083265,Parkinson disease,381270,Parkinson's disease,exactMatch,,,,Parkinson disease,381270,Parkinson's disease
37083340,Subacute combined degeneration of spinal cord in diseases classified elsewhere,140099,Subacute combined degeneration of spinal cord,exactMatch,,,,Subacute combined degeneration of spinal cord in diseases classified elsewhere,-1,
37083523,Nerve root and plexus compressions in other dorsopathies,43531045,Lesion of nerve root and/or plexus,broadMatch,,,,Nerve root and plexus compression,-1,
37084048,Glaucoma secondary to eye trauma,440396,Glaucoma due to ocular trauma,exactMatch,,,,Glaucoma secondary to eye trauma,-1,
37084578,Nonrheumatic tricuspid (valve) insufficiency,4111412,"Tricuspid incompetence, non-rheumatic",exactMatch,,,,Nonrheumatic tricuspid (valve) insufficiency,-1,
37084659,Atrial fibrillation: paroxysmal,4154290,Paroxysmal atrial fibrillation,exactMatch,,,,Atrial fibrillation: paroxysmal,-1,
37084767,"Cerebral aneurysm, nonruptured",4029497,Aneurysm of cerebral artery,exactMatch,,,,"Cerebral aneurysm, nonruptured",-1,
37084958,"Lymphoedema, not elsewhere classified",435839,Lymphedema,exactMatch,,,,Lymphoedema,4147210,Lymphatic edema
37085667,West Nile virus infection,438970,Disease caused by West Nile virus,exactMatch,,,,West Nile virus infection,438970,Disease caused by West Nile virus
37085900,Rubella without complication,4273323,Rubella,exactMatch,,,,Rubella,4273323,Rubella
37086807,"Chronic viral hepatitis, unspecified",4012113,Chronic viral hepatitis,exactMatch,,,,Chronic viral hepatitis,4012113,Chronic viral hepatitis
37087035,"Rheumatoid bursitis, other",134453,Bursitis,broadMatch,,,,Rheumatoid bursitis,-1,
37087206,"Juvenile ankylosing spondylitis, other",4083681,Juvenile ankylosing spondylitis,exactMatch,,,,Juvenile ankylosing spondylitis,4083681,Juvenile ankylosing spondylitis
37087421,"Familial chondrocalcinosis, forearm",4035750,Familial chondrocalcinosis,broadMatch,,,,"Familial chondrocalcinosis, forearm",-1,
37087581,"Gout arthropathy due to enzyme defects and other congenital diseases: hand [fingers, wrist, metacarpal, joints between these bones]",4035752,Gout secondary to enzyme defect,broadMatch,,,,"Gout arthropathy due to enzyme defects and congenital diseases, hand",-1,
37087754,Hallux valgus (acquired),75911,Acquired hallux valgus,exactMatch,,,,Hallux valgus (acquired),-1,
37088295,"Other idiopathic scoliosis, sacral and sacrococcygeal region",138841,Disorder of sacrum,broadMatch,,,,"idiopathic scoliosis, sacral and sacrococcygeal region",-1,
37088465,"Other specified deforming dorsopathies, thoracic region",4183247,Deformity of thoracic spine,exactMatch,,,,"deforming dorsopathies, thoracic region",-1,
37089004,"Myositis, unspecified",73001,Myositis,exactMatch,,,,Myositis,73001,Myositis
37089352,Spontaneous rupture of unspecified tendon,439907,Non-traumatic tendon rupture,exactMatch,,,,Spontaneous rupture of tendon,-1,
37089588,Plasmodium vivax malaria,433960,Vivax malaria,exactMatch,,,,Plasmodium vivax malaria,-1,
37089810,"Fibromyalgia, hand",40405599,Fibromyalgia,broadMatch,,,,"Fibromyalgia, hand",-1,
37089999,"Idiopathic osteoporosis, upper arm",81390,Idiopathic osteoporosis,broadMatch,,,,"Idiopathic osteoporosis, upper arm",-1,
37090164,"Adult osteomalacia, unspecified, upper arm",76191,Disorder of upper arm,broadMatch,,,,"Adult osteomalacia, upper arm",-1,
37090172,Disorders of continuity of bone,4344386,Disorder of continuity of bone,exactMatch,,,,Disorders of continuity of bone,4344386,Disorder of continuity of bone
37090672,Other specified disorders of bone,75909,Disorder of bone,exactMatch,,,,disorders of bone,75909,Disorder of bone
37090689,"Disorder of bone, unspecified, pelvic region and thigh",43531054,Disorder of pelvis,broadMatch,,,,"Disorder of bone, pelvic region and thigh",-1,
37090735,"Osteonecrosis in caisson disease, multiple sites",4069528,Osteonecrosis due to Caisson disease,exactMatch,45757800.0,Dysbaric osteonecrosis,exactMatch,"Osteonecrosis in caisson disease, multiple sites",-1,
37090758,"Osteonecrosis in other diseases classified elsewhere, multiple sites",4287786,Osteonecrosis,broadMatch,,,,"Osteonecrosis, multiple sites",-1,
37090828,"Osteochondrosis dissecans: pelvic region and thigh [pelvis, femur, buttocks, hips, hip joint, sacroiliac joint]",437359,Osteochondritis dissecans,broadMatch,,,,"Osteochondrosis dissecans: pelvic region and thigh [pelvis, femur, buttocks, hips, hip joint, sacroiliac joint]",-1,
37091304,"Disorder of prostate, unspecified",196734,Disorder of prostate,exactMatch,,,,Disorder of prostate,196734,Disorder of prostate
37091346,Disorders of prostate in diseases classified elsewhere,196734,Disorder of prostate,exactMatch,,,,Disorders of prostate in diseases classified elsewhere,-1,
37091592,Classical hydatidiform mole,4129710,Complete hydatidiform mole,exactMatch,,,,Classical hydatidiform mole,-1,
37091614,"Medical abortion, incomplete, complicated by embolism",37163809,Incomplete induced termination of pregnancy complicated by embolism,exactMatch,,,,"Medical abortion, incomplete, complicated by embolism",-1,
37091617,"Medical abortion, complete or unspecified, complicated by genital tract and pelvic infection",43530910,Induced termination of pregnancy complicated by genital-pelvic infection,exactMatch,,,,Medical abortion complicated by genital tract and pelvic infection,-1,
37091889,Other premature separation of placenta,198488,Placental abruption,exactMatch,,,,premature separation of placenta,198488,Placental abruption
37092117,Cerebral venous thrombosis in the puerperium,4066234,Cerebral venous thrombosis in puerperium,exactMatch,,,,Cerebral venous thrombosis in the puerperium,-1,
37092153,Malignant neoplasm: Overlapping lesion of floor of mouth,140955,Overlapping malignant neoplasm of floor of mouth,exactMatch,,,,Malignant neoplasm: Overlapping lesion of floor of mouth,140955,Overlapping malignant neoplasm of floor of mouth
37092544,Other neonatal aspiration syndromes,434154,Neonatal aspiration syndrome,exactMatch,,,,neonatal aspiration syndromes,434154,Neonatal aspiration syndrome
37093016,"Congenital malformation of cardiac septum, unspecified",4245646,Congenital septal defect of heart,exactMatch,,,,Congenital malformation of cardiac septum,-1,
37093223,"Congenital malformations of lips, not elsewhere classified",4033966,Congenital anomaly of lip,exactMatch,,,,Congenital malformations of lips,4033966,Congenital anomaly of lip
37093264,Other congenital malformations of intestine,4130372,Congenital anomaly of intestinal tract,exactMatch,,,,congenital malformations of intestine,-1,
37093308,Unicornate uterus,4028991,Uterus unicornis,exactMatch,,,,Unicornate uterus,4028991,Uterus unicornis
37094135,"Abnormal findings in cerebrospinal fluid, Abnormal histological findings",4172064,Abnormal histological findings in CSF,exactMatch,,,,"Abnormal findings in cerebrospinal fluid, Abnormal histological findings",-1,
37095180,Chronic erythremia,135214,Polycythemia vera (clinical),exactMatch,,,,Chronic erythremia,-1,
37095656,Sarcoma of dendritic cells (accessory cells),607994,Dendritic cell sarcoma,exactMatch,,,,Sarcoma of dendritic cells (accessory cells),-1,
37119729,Haematocoele female,200150,Female hematocele,exactMatch,,,,Haematocoele female,-1,
37200077,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, bilateral",195771,Secondary diabetes mellitus,broadMatch,,,,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, bilateral",-1,
37200082,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, bilateral",195771,Secondary diabetes mellitus,broadMatch,,,,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, bilateral",-1,
37200127,Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy,4202383,Drug-induced diabetes mellitus,broadMatch,,,,Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy,-1,
37200139,"Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",380097,Macular edema due to diabetes mellitus,broadMatch,,,,"Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",-1,
37200223,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",43530685,Proliferative retinopathy due to type 2 diabetes mellitus,broadMatch,,,,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",-1,
37200332,"Carpal tunnel syndrome, bilateral upper limbs",760925,Bilateral carpal tunnel syndrome,exactMatch,,,,"Carpal tunnel syndrome, bilateral upper limbs",-1,
37200967,"Mild to moderate pre-eclampsia, complicating childbirth",439393,Pre-eclampsia,broadMatch,,,,"Mild to moderate pre-eclampsia, complicating childbirth",-1,
37201112,"Other coma, without documented Glasgow coma scale score, or with partial score reported, 24 hours or more after hospital admission",380834,Coma,broadMatch,380834.0,Coma,exactMatch,coma,380834,Coma
37201411,"Fracture of other specified skull and facial bones, right side",4302223,Fracture of bone of head,broadMatch,,,,"Fracture of skull and facial bones, right side",-1,
37202299,Other specified procedure converted to open procedure,46272989,Failed procedure using minimal access approach converted to open procedure,exactMatch,,,,procedure converted to open procedure,-1,
37219908,Cough decreased,4199298,Decreased coughing,exactMatch,,,,Cough decreased,-1,
37223342,Other specified limb deformities - Multiple sites (machine translation),133857,Acquired deformity of limb,broadMatch,,,,"limb deformities, multiple sites",-1,
37223503,"Other specific joint derangements, not elsewhere classified, forearm",78228,Joint derangement,broadMatch,,,,"joint derangement, forearm",-1,
37223508,"Other specific joint derangements, not elsewhere classified, other",78228,Joint derangement,exactMatch,,,,joint derangements,78228,Joint derangement
37223683,"Juvenile idiopathic scoliosis, lumbosacral region",4067872,Adolescent idiopathic scoliosis,broadMatch,,,,"Juvenile idiopathic scoliosis, lumbosacral region",-1,
37223852,"Osteomyelitis of vertebra, lumbosacral region",195906,Disorder of lumbar spine,broadMatch,,,,"Osteomyelitis of vertebra, lumbosacral region",-1,
37223903,"Anterior spinal and vertebral artery compression syndromes, multiple sites in spine",4032003,Anterior spinal artery compression syndrome,broadMatch,,,,"Anterior spinal and vertebral artery compression syndromes, multiple sites in spine",-1,
37224058,"Enterobacterial spondylitis, site unspecified",4068478,Enterobacterial spondylitis,exactMatch,,,,Enterobacterial spondylitis,4068478,Enterobacterial spondylitis
37224088,"Collapsed vertebra in diseases classified elsewhere, site unspecified",4222001,Collapse of vertebra,exactMatch,,,,Collapsed vertebra,4222001,Collapse of vertebra
37224191,"Other dorsalgia, occipito-atlanto-axial region",4133638,Pain in cervical spine,broadMatch,,,,"dorsalgia, occipito-atlanto-axial region",-1,
37224682,"Necrotizing fasciitis, other",133566,Necrotizing fasciitis,exactMatch,,,,Necrotizing fasciitis,133566,Necrotizing fasciitis
37224781,"Enthesopathy, unspecified, upper arm",42537682,Enthesopathy of upper limb,exactMatch,,,,"Enthesopathy, upper arm",-1,
37224790,"Rheumatism, unspecified, forearm",136779,Disorder of forearm,broadMatch,,,,"Rheumatism, forearm",-1,
37224955,"Other osteoporosis with pathological fracture, other",40480160,Osteoporotic fracture,exactMatch,,,,osteoporosis with pathological fracture,-1,
37224965,"Unspecified osteoporosis with pathological fracture, other",40480160,Osteoporotic fracture,exactMatch,,,,osteoporosis with pathological fracture,-1,
37225260,"Osteitis condensans, hand",75920,Osteitis condensans,broadMatch,,,,"Osteitis condensans, hand",-1,
37225373,"Other chronic haematogenous osteomyelitis, ankle and foot",137077,Chronic osteomyelitis of ankle and/or foot,exactMatch,,,,"chronic haematogenous osteomyelitis, ankle and foot",-1,
37225618,"Osteonecrosis in other diseases classified elsewhere, multiple sites",4287786,Osteonecrosis,broadMatch,,,,"Osteonecrosis, multiple sites",-1,
37225693,"Chondrolysis, forearm",136779,Disorder of forearm,broadMatch,,,,"Chondrolysis, forearm",-1,
37225820,"Recurrent and persistent haematuria, other",79864,Hematuria syndrome,broadMatch,,,,Recurrent and persistent haematuria,-1,
37282746,Familial (FPAH),4119611,Familial primary pulmonary hypertension,exactMatch,,,,Familial (FPAH),-1,
37320084,Punctate keratosis,4300110,Punctate palmoplantar keratoderma,broadMatch,,,,Punctate keratosis,-1,
37383969,Exanthem,140214,Eruption,broadMatch,,,,Exanthem,140214,Eruption
37402416,"Dementia in other diseases classified elsewhere, moderate, with agitation",762704,Moderate dementia,broadMatch,,,,"Dementia, moderate, with agitation",-1,
37402457,"Unspecified dementia, severe, with anxiety",441542,Anxiety,broadMatch,,,,"dementia, severe, with anxiety",-1,
37402466,"Cocaine use, unspecified, in remission",37162280,Disorder caused by psychoactive substance,broadMatch,,,,"Cocaine use, in remission",-1,
37402467,"Other stimulant use, unspecified, in remission",37164332,Nondependent psychostimulant abuse in remission,exactMatch,,,,"stimulant use, in remission",-1,
37402468,"Hallucinogen use, unspecified, in remission",37162280,Disorder caused by psychoactive substance,broadMatch,,,,"Hallucinogen use, in remission",-1,
37402469,"Inhalant use, unspecified, in remission",37162280,Disorder caused by psychoactive substance,broadMatch,,,,"Inhalant use, in remission",-1,
37604135,Abnormal findings in cerebrospinal fluid,4065770,Cerebrospinal fluid examination abnormal,exactMatch,,,,Abnormal findings in cerebrospinal fluid,-1,
37604162,Abnormal results of liver function studies,438878,Liver function tests outside reference range,exactMatch,,,,Abnormal results of liver function studies,438878,Liver function tests outside reference range
37604386,Adverse effects in the therapeutic use of antiparkinsonism drugs,443602,Adverse reaction to antiparkinsonism drug,exactMatch,,,,Adverse effects in the therapeutic use of antiparkinsonism drugs,-1,
37604557,Attention to artificial openings,1242753,Attention to stoma,exactMatch,,,,Attention to artificial openings,-1,
37604869,"Acute onset vascular dementia with other, mainly hallucinatory symptoms, severe",4046089,Vascular dementia of acute onset,broadMatch,,,,"Acute onset vascular dementia with hallucinatory symptoms, severe",-1,
37605180,"Dementia in Creutzfeldt-Jakob disease, with other symptoms, predominantly hallucinatory, mild",4180284,Dementia due to Creutzfeldt Jakob disease,broadMatch,,,,"Dementia in Creutzfeldt-Jakob disease, predominantly hallucinatory, mild",-1,
37605737,Ventricular premature depolarization,4089462,Ventricular premature complex,exactMatch,,,,Ventricular premature depolarization,4089462,Ventricular premature complex
37605894,Hereditary factor VIII deficiency,434007,Hereditary factor VIII deficiency disease,exactMatch,,,,Hereditary factor VIII deficiency,-1,
37606067,Benign lipomatous neoplasm,4112852,Benign lipomatous tumor,exactMatch,,,,Benign lipomatous neoplasm,-1,
37606919,Other osteomyelitis,141663,Osteomyelitis,exactMatch,,,,osteomyelitis,141663,Osteomyelitis
37607004,Endocarditis and heart valve disorders in diseases classified elsewhere,440736,Endocarditis associated with another disorder,broadMatch,,,,Endocarditis and heart valve disorders in diseases classified elsewhere,-1,
37607152,Other diseases of Bartholin gland,4103650,Disorder of Bartholin's gland,exactMatch,,,,diseases of Bartholin gland,-1,
37607165,Other schizophrenia,435783,Schizophrenia,exactMatch,,,,schizophrenia,35823457,Schizophrenia
37607287,Alveolar and parietoalveolar conditions,257907,Disorder of lung,broadMatch,,,,Alveolar and parietoalveolar conditions,-1,
37607571,Exposure to noise,434238,Exposed to noise,exactMatch,,,,Exposure to noise,434238,Exposed to noise
37607584,Adverse effects in the therapeutic use of aminoglycosides,4099883,Aminoglycosides adverse reaction,exactMatch,,,,Adverse effects in the therapeutic use of aminoglycosides,-1,
37607634,"Naevus, non-neoplastic",135287,Non-neoplastic nevus,exactMatch,,,,"Naevus, non-neoplastic",-1,
37608196,Disorders of zinc metabolism,4263312,Disorder of zinc metabolism,exactMatch,,,,Disorders of zinc metabolism,4263312,Disorder of zinc metabolism
37608257,Non-neuropathic heredofamilial amyloidosis,4030362,Familial non-neuropathic amyloidosis,exactMatch,,,,Non-neuropathic heredofamilial amyloidosis,-1,
37608458,Other retinal detachments,378414,Retinal detachment,exactMatch,,,,retinal detachments,36769851,Retinal detachment
37609039,Nonrheumatic tricuspid (valve) stenosis with insufficiency,4111414,Non-rheumatic tricuspid valve stenosis with insufficiency,exactMatch,,,,Nonrheumatic tricuspid (valve) stenosis with insufficiency,-1,
37609134,Other specified diseases of upper respiratory tract,254068,Disorder of upper respiratory system,exactMatch,,,,diseases of upper respiratory tract,254068,Disorder of upper respiratory system
37609365,Lack of physical exercise,4165091,Lack of exercise,exactMatch,,,,Lack of physical exercise,4165091,Lack of exercise
37609391,Other mononeuropathies of lower limb,43531028,Mononeuropathy of lower limb,exactMatch,,,,mononeuropathies of lower limb,43531028,Mononeuropathy of lower limb
37609802,Active stage of trachoma,375736,"Trachoma, active stage",exactMatch,,,,Active stage of trachoma,-1,
37610053,Malignant neoplasm: Overlapping lesion of corpus uteri,198082,Overlapping malignant neoplasm of body of uterus,exactMatch,,,,Malignant neoplasm: Overlapping lesion of corpus uteri,-1,
37610161,Toxic epidermal necrolysis [Lyell],35625873,Lyell syndrome,exactMatch,,,,Toxic epidermal necrolysis,35625873,Lyell syndrome
37610986,"Tricuspid valve disease, unspecified",316993,Tricuspid valve disorder,exactMatch,,,,Tricuspid valve disease,316993,Tricuspid valve disorder
37611086,Acute posthaemorrhagic anaemia,434894,Acute posthemorrhagic anemia,exactMatch,,,,Acute posthaemorrhagic anaemia,434894,Acute posthemorrhagic anemia
37611262,Extra marker chromosomes,40480271,Extra unidentified structurally abnormal chromosome,exactMatch,,,,Extra marker chromosomes,-1,
37611631,Rotator cuff syndrome,4212887,Disorder of rotator cuff,exactMatch,,,,Rotator cuff syndrome,-1,
37611822,Pilonidal cyst without abscess,4165681,Pilonidal cyst,exactMatch,,,,Pilonidal cyst without abscess,-1,
37612241,Other gender identity disorders,4338512,Gender identity disorder,exactMatch,,,,gender identity disorders,4338512,Gender identity disorder
37612559,Gonococcal pharyngitis,30333,Gonorrhea of pharynx,exactMatch,,,,Gonococcal pharyngitis,30333,Gonorrhea of pharynx
37613302,Endometrial glandular hyperplasia,200775,Endometrial hyperplasia,exactMatch,,,,Endometrial glandular hyperplasia,-1,
37613473,Eclampsia in labour,4034096,Eclampsia in labor,exactMatch,,,,Eclampsia in labour,4034096,Eclampsia in labor
37613552,Irritant contact dermatitis due to other agents,4004352,Irritant contact dermatitis,exactMatch,,,,Irritant contact dermatitis,4004352,Irritant contact dermatitis
37613645,Acn� excori�e ,4004094,Excoriated acne,exactMatch,,,,Acn� excori�e ,-1,
37613740,Hepatitis A with hepatic coma,194856,Hepatic coma due to viral hepatitis A,exactMatch,,,,Hepatitis A with hepatic coma,-1,
37613827,"Mental disorders and diseases of the nervous system complicating pregnancy, childbirth and the puerperium",4063155,"Disease of nervous system complicating pregnancy, childbirth and puerperium",broadMatch,,,,"Mental disorders and diseases of the nervous system complicating pregnancy, childbirth and the puerperium",-1,
37614022,Supervision of normal first pregnancy,4061424,Antenatal care: primigravida,broadMatch,,,,Supervision of normal first pregnancy,-1,
37614126,"Type 2 diabetes mellitus, with neurological complications",376065,Disorder of nervous system due to type 2 diabetes mellitus,exactMatch,,,,"Type 2 diabetes mellitus, with neurological complications",-1,
37615331,"Mixed conductive and sensorineural hearing loss, unspecified",379832,Mixed conductive AND sensorineural hearing loss,exactMatch,,,,Mixed conductive and sensorineural hearing loss,379832,Mixed conductive AND sensorineural hearing loss
37615395,Embolism and thrombosis of other arteries,312337,Arterial embolus and thrombosis,exactMatch,,,,Embolism and thrombosis of arteries,-1,
37622382,Artery dissection,46272492,Dissection of artery,exactMatch,,,,Artery dissection,-1,
37688988,Aortic sclerosis,4195690,Aortic valve sclerosis,exactMatch,,,,Aortic sclerosis,4195690,Aortic valve sclerosis
42483611,Allergic purpura,4101602,Immunoglobulin A vasculitis,exactMatch,,,,Allergic purpura,-1,
42483830,Brucellosis due to Brucella melitensis,443590,Infection caused by Brucella melitensis,exactMatch,,,,Brucellosis due to Brucella melitensis,-1,
42483858,"Zoonotic bacterial disease, unspecified",432545,Bacterial infectious disease,broadMatch,,,,Zoonotic bacterial disease,-1,
42484116,Other specified viral encephalitis,372547,Viral encephalitis,exactMatch,,,,viral encephalitis,372547,Viral encephalitis
