cleaned_term,source_code,source_term,mapped_concept_id,mapped_concept_name,mapped_rationale
Systemic inflammatory response syndrome of non-infectious origin,1572266,Systemic inflammatory response syndrome (SIRS) of non-infectious origin,44784134,Non-infectious systemic inflammatory response syndrome,"Concept 44784134 ""Non-infectious systemic inflammatory response syndrome"" exactly captures a systemic inflammatory response syndrome whose etiology is non-infectious and does not add or omit qualifiers such as presence/absence of organ failure. Other candidates are either more general (include infectious causes) or more specific (stipulate organ failure status), so 44784134 is the single precise clinical equivalent."
Contusion of eyeball and orbital tissues,1572403,Contusion of eyeball and orbital tissues,433911,Contusion of eye AND ocular adnexa,"The source term describes a bruise involving BOTH the eyeball (globe) and the surrounding orbital/ocular adnexal tissues. The SNOMED concept 433911 ""Contusion of eye AND ocular adnexa"" explicitly represents a contusion simultaneously affecting the globe and the adjacent orbital/ocular adnexal structures. It preserves all clinical details (location and injury type) without adding or omitting specificity. All other candidates are either limited to the globe, limited to orbital tissues, or are broader/unspecified, therefore do not meet the exact equivalence requirement."
Injury of intercostal blood vessels,1572665,Injury of intercostal blood vessels,-1,no_match,"The source term refers to any injury (unspecified mechanism) involving either artery, vein, or both intercostal vessels. 
• 317713 ""Injury of blood vessels of thorax"" is broader (includes many thoracic vessels beyond intercostal).
• 42536772 ""Laceration of intercostal blood vessel"" is more specific (restricts mechanism to laceration).
• 317712 ""Injury of intercostal artery"" and 442309 ""Injury of intercostal vein"" are each narrower (single vessel type only).
• All remaining candidates are either broader (e.g., chest injuries, multiple thoracic vessels) or unrelated.
No candidate exactly matches the unspecified injury of any intercostal blood vessel(s), so no suitable standard concept exists among the provided options."
Multiple fractures of pelvis with disruption of pelvic ring,1572787,Multiple fractures of pelvis with disruption of pelvic ring,-1,no_match,"The source term requires BOTH (1) multiple pelvic fractures and (2) disruption of the pelvic ring, without specifying whether the fractures are open or closed. No candidate concept satisfies exactly these two criteria without adding extra specificity (e.g., specifying open or closed fractures, compression pattern, stability) or omitting one criterion (e.g., only disruption or only multiple fractures). Therefore, no exact clinical equivalent is present among the candidate concepts."
Injury of branches of celiac and mesenteric artery,1572809,Injury of branches of celiac and mesenteric artery,-1,no_match,"None of the candidate concepts simultaneously specify injury to both the branches of the celiac artery and the mesenteric artery. Each candidate is either limited to one of these arterial systems (e.g., Injury of branch of celiac axis, Injury of primary branch of superior mesenteric artery) or is overly broad (e.g., Injury of blood vessel of abdomen, Injury of systemic artery of trunk). Therefore, no candidate fully preserves the specificity of the source term without being broader or narrower."
Fracture of navicular [scaphoid] bone of wrist,1573395,Unspecified fracture of navicular [scaphoid] bone of wrist,4137945,Fracture of scaphoid bone of wrist,"Concept 4137945 ""Fracture of scaphoid bone of wrist"" directly represents a fracture of the scaphoid (navicular) bone in the wrist, with no added details about laterality or fracture type, matching the source term exactly. All other candidates are either more specific (open/closed fractures, laterality, associated dislocations) or refer to different bones/locations, violating specificity or generality rules."
Injury of peroneal nerve at lower leg level,1573900,Injury of peroneal nerve at lower leg level,-1,no_match,"No candidate concept preserves both required details: peroneal nerve involvement AND explicit specification of lower-leg level. Concepts that specify the peroneal nerve (e.g., Traumatic injury of common peroneal nerve, Peroneal nerve injury) do not restrict the injury to the lower leg, making them broader than the source term. Concepts that specify lower-leg level either omit the peroneal nerve or add extra detail (e.g., deep branch, closed injury), making them non-equivalent. Therefore, no exact clinical match exists among the provided candidates."
Corrosion of cornea and conjunctival sac,1574545,Corrosion of cornea and conjunctival sac,-1,no_match,"The source term denotes a chemical (corrosive) burn involving BOTH the cornea and conjunctival sac, without specifying the chemical type. 
• Concepts that include any burn (thermal or chemical) such as ""Burn of cornea and conjunctival sac"" are broader. 
• Concepts limited to the cornea alone or conjunctival sac alone are too narrow. 
• Concepts specifying acid or alkaline burns are more specific than the source. 
No candidate precisely matches the chemical nature and combined anatomical scope without over- or under-specification, so no exact equivalent is present."
Infection due to central venous catheter,1575178,Infection due to central venous catheter,-1,no_match,"No candidate concept exactly matches an unspecified infection due to a central venous catheter. Options are either too specific (e.g., bloodstream infection, sepsis, exit-site or tunnel-site infection) or too broad (e.g., infection of any vascular catheter/device). Therefore, no exact clinical equivalent is present in the candidate list."
Infection and inflammatory reaction due to internal joint prosthesis,1575278,Infection and inflammatory reaction due to internal joint prosthesis,-1,no_match,"None of the candidate concepts is an exact equivalent. The closest options are: 1) concept_id 440276, which covers infection and/or inflammatory reaction but is broader because it includes *any* internal prosthetic device, implant or graft, not specifically a joint prosthesis; 2) concept_id 4308690, which is limited to infection of a prosthetic joint and therefore is narrower, excluding non-infectious inflammatory reactions. All other candidates are either even broader, relate to other body systems, or are overly specific to particular joints or fixation devices. Therefore there is no exact clinical match in the provided list."
Military operations involving firearms discharge,1575861,Military operations involving other firearms discharge,-1,no_match,"None of the candidate concepts is an exact clinical or event equivalent. Concepts such as ""Operations of war"" are broader because they include any type of warfare, not specifically those with firearms discharge, while others (e.g., ""Assault by military firearm"", ""War injuries due to bullets and fragments"") focus on injury or assault rather than the broader circumstance of a military operation involving firearm use. Therefore, no candidate preserves the exact scope and meaning of the source term without being either broader or more specific."
Adverse incident due to obstetric and gynecological devices,1575911,Obstetric and gynecological devices associated with adverse incidents,-1,no_match,"None of the candidate concepts preserves the full specificity of the source term. The source requires (1) an adverse device-related event/incident (not merely a general medical accident or a procedure), and (2) the device must be obstetric or gynecological. 

• 43021974 “Complication associated with device”, 4320824 “Adverse effect of prosthetic device”, and 42536720 “Injury due to and following implantation of device” are too broad—they cover all devices, not specifically obstetric/gynecological.  
• 43021248 “Disorder associated with urogenital device” is still broader (includes male genitourinary devices) and refers to established disorders rather than incidents.  
• 42539464 and 43021250 focus on other device categories or injuries unrelated to the full obstetric-device context.  
• The remaining candidates are ICD-10-PCS procedure codes or administrative findings, not clinical condition concepts describing an adverse incident with obstetric or gynecological devices. 

Because no candidate concept exactly matches an adverse incident specifically attributable to obstetric and gynecological devices, no suitable match exists."
Orthopedic device associated with adverse incident,1575914,Orthopedic devices associated with adverse incidents,43021250,Complication associated with orthopedic device,"The source term denotes any adverse/complication event related to an orthopedic (orthopaedic) device. SNOMED concept 43021250 ""Complication associated with orthopedic device"" captures exactly this meaning, covering all untoward incidents linked to an orthopedic device. It preserves the same scope—no added specificity (e.g., type of complication) and not broader (limited to orthopedic devices). Other candidates are either broader (e.g., complications of any device) or narrower (specific types of complications) or unrelated (procedures, events). Hence 43021250 is the exact clinical equivalent."
Contact with hazards in the physical environment,1576184,Contact with and (suspected) exposure to hazards in the physical environment,4309405,Environment contains physical hazards,"The source term refers broadly to an individual being in contact with hazards that are physical in nature and present in the environment. SNOMED concept 4309405 ""Environment contains physical hazards (finding)"" captures the same clinical idea: it denotes the presence of physical hazards in the person’s surroundings, implying potential contact/exposure. It matches the source term’s scope without being more general (it is limited to physical hazards) or more specific (does not specify a particular hazard or setting), making it a clinically equivalent concept."
Insect allergy,1576270,Insect allergy status,-1,no_match,"None of the candidate concepts represents a general allergy to insects. Options are either too broad (e.g., “Allergic disposition”), too narrow (e.g., “Allergic reaction caused by insect bite and/or insect sting,” “Allergic rhinitis caused by insects”), or are substances/procedures/events rather than the clinical condition itself. Therefore, no exact clinical equivalent is available among the provided targets."
"Infection of obstetric surgical wound, superficial incisional site",1595653,"Infection of obstetric surgical wound, superficial incisional site",37208108,Infection of superficial obstetric surgical wound,"Concept 37208108 ""Infection of superficial obstetric surgical wound"" explicitly captures all key elements of the source term: 1) infection, 2) obstetric surgical wound, and 3) superficial/incisional site. It is neither broader (does not drop obstetric or superficial details) nor narrower (does not add specifics like C-section only or laterality). Therefore it is an exact clinical match."
Encephalopathy in endocrine and metabolic disorders,21013352,Encephalopathy in endocrine and metabolic disorders classified elsewhere (machine translation),372892,Metabolic encephalopathy,"The source term describes encephalopathy that results from disturbances inherent to endocrine or metabolic disorders. SNOMED concept 372892 ""Metabolic encephalopathy"" represents brain dysfunction caused by metabolic abnormalities, a category that conventionally includes encephalopathies secondary to endocrine derangements (e.g., hypoglycemia, thyroid coma). It captures the same etiologic class (metabolic/endocrine) without adding extra specificity (e.g., toxic cause) or losing required detail. Other candidates are either broader (""Disorder of brain""), narrower or off-focus (e.g., ""Hepatic encephalopathy"", ""Hypoglycemic encephalopathy""), or introduce additional etiologies (""Toxic metabolic encephalopathy""). Therefore, concept 372892 is the exact clinical equivalent."
Subacute combined cord degeneration,35104073,Subacute combined cord degeneration,140099,Subacute combined degeneration of spinal cord,"The target concept ""Subacute combined degeneration of spinal cord"" is clinically identical to the source term. It captures the same pathological process (SACD) involving the spinal cord, without adding or omitting any specificity. No other candidate provides a closer or more exact match."
Small cell lymphocytic lymphoma,35124545,Small cell lymphocytic lymphoma,4119130,Malignant lymphoma - small lymphocytic,"Concept 4119130 ""Malignant lymphoma - small lymphocytic"" has the exact clinical meaning of small (cell) lymphocytic lymphoma (SLL); the term itself and its synonyms include ""Small lymphocytic lymphoma"". It is neither broader (still specifies the lymphocytic small-cell subtype) nor more specific (does not add stage, site, or other qualifiers) than the source term. Other candidates are either broader (general low-grade B-cell, non-Hodgkin) or represent related but distinct entities (e.g., CLL, diffuse pattern). Therefore 4119130 is the precise match."
Urban rabies,35205669,Urban rabies,-1,no_match,"The source term specifies the urban (dog-maintained) form of rabies. None of the candidate concepts encode this epidemiologic qualifier. The general term “Rabies” (Concept 377793) is broader and lacks the urban specification, while other candidates (e.g., “Sylvatic rabies,” “Human rabies,” or status qualifiers such as suspected/probable/confirmed rabies) either describe different reservoirs, hosts, or add context not present in the source term. Therefore, no exact clinically equivalent standard concept is available among the candidates."
Tinea barbae and tinea capitis,35205805,Tinea barbae and tinea capitis,-1,no_match,"The source term denotes the simultaneous presence of two distinct dermatophyte infections (tinea barbae AND tinea capitis). All candidate concepts are either: 1) specific to only one of the two infections (e.g., ""Tinea barbae"" or ""Tinea capitis"" alone), or 2) broader categories such as ""Dermatophytosis"" that do not preserve the explicit specification of both anatomical sites. No candidate represents exactly the combined condition, so no exact match exists."
Cutaneous chromomycosis,35205856,Cutaneous chromomycosis,4080755,Cutaneous chromoblastomycosis,"The historical term ""chromomycosis"" is synonymous with ""chromoblastomycosis."" Adding the qualifier ""cutaneous"" specifies skin involvement, which is exactly captured by the SNOMED concept ""Cutaneous chromoblastomycosis"" (4080755). This concept preserves all clinical details (skin location, disease type) without adding or omitting information, making it an exact clinical equivalent. Other candidates are either subtypes (e.g., lymphocutaneous chromoblastomycosis) or unrelated fungal conditions, and therefore are not appropriate matches."
Benign lipomatous neoplasm of intrathoracic organs,35206544,Benign lipomatous neoplasm of intrathoracic organs,433167,Lipoma of intrathoracic organs,"Concept 433167 (""Lipoma of intrathoracic organs"") is a benign lipomatous (fat) tumor located specifically within intrathoracic organs, matching both the benign lipomatous nature and the anatomical location of the source term. Other candidates are either broader (e.g., benign neoplasm of intrathoracic organs) or different in location or histology, thus violating specificity requirements."
Benign lipomatous neoplasm of intra-abdominal organs,35206545,Benign lipomatous neoplasm of intra-abdominal organs,196654,Lipoma of intra-abdominal organs,"Concept 196654 ""Lipoma of intra-abdominal organs"" represents a benign lipomatous tumor (lipoma and related benign adipocytic variants) located within intra-abdominal organs, matching both the histologic type (benign lipomatous neoplasm) and the anatomical location specified in the source term. It is neither broader (it retains the lipomatous nature) nor narrower (its hierarchy includes other benign lipomatous subtypes beyond simple lipoma), making it an exact clinical equivalent."
Amnestic disorder due to known physiological condition,35207115,Amnestic disorder due to known physiological condition,36712678,Amnestic disorder associated with general medical condition,"The source term describes an amnestic disorder secondary to an identified physiological (general medical) condition. Concept 36712678 ""Amnestic disorder associated with general medical condition"" captures the same etiological relationship and clinical specificity without adding or omitting details. Other candidates are either broader (e.g., ""Amnestic disorder"" without cause) or differently specified (e.g., due to drug or multiple factors). Hence concept 36712678 is the exact clinical equivalent."
disorders of choroid,35207549,Other specified disorders of choroid,432620,Disorder of choroid of eye,"The source term refers broadly to any pathological condition of the choroid. Concept 432620 ""Disorder of choroid of eye"" captures the same level of breadth and pathology without adding or omitting clinical detail. All other candidates are either specific subtypes (choroiditis, neoplasm, injury, etc.) or broader/non-pathological findings, and therefore do not exactly match the source term’s scope."
Duodenal ulcer without hemorrhage or perforation,35208218,"Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation",4209746,Duodenal ulcer without hemorrhage AND without perforation,"Concept 4209746 exactly represents a duodenal ulcer explicitly stated to be without hemorrhage and without perforation, matching all clinical qualifiers in the source term. Other candidates add extra specificity (acute, chronic, with/without obstruction) or differ in site/severity, so they either over-specify or mismatch. Therefore, concept 4209746 is the precise equivalent."
diseases of the digestive system,35208415,Other specified diseases of the digestive system,4201745,Disorder of digestive system,"The source term refers to any disease/disorder affecting the digestive system. SNOMED concept 4201745 ""Disorder of digestive system"" is clinically equivalent, with synonyms that include ""Digestive system disease."" It matches the scope and specificity exactly, whereas other candidates are either narrower (e.g., intestine only), more specific (chronic, infectious, neoplastic, pregnancy-related), or non-condition contexts (history, screening, family history)."
Drug photoallergic response,35208562,Drug photoallergic response,-1,no_match,"None of the candidate concepts captures both required elements of the source term—(1) a drug etiology and (2) an explicitly photoallergic (not just phototoxic or nonspecific photosensitivity) mechanism—without adding or omitting clinical detail. The closest candidates are:
• 4286349 “Photosensitivity caused by drug” – includes phototoxic reactions and is therefore broader than the source.
• 4009034 “Photoallergic dermatitis” – matches the allergic mechanism but lacks the drug cause, so it is also broader.
All other candidates are either non-allergic, lack the photo component, or are over-specific to particular agents or clinical presentations. Hence no exact equivalent concept is available among the provided targets."
Acquired deformity of chest and rib,35209145,Acquired deformity of chest and rib,40488470,Acquired deformity of thoracic structure,"The SNOMED concept 40488470 ""Acquired deformity of thoracic structure"" has the synonym ""Acquired deformity of chest and rib"" and represents the same clinical idea—an acquired structural deformity involving the thoracic cage (chest wall and ribs). It preserves the exact anatomical scope and acquired nature specified in the source term without adding or omitting clinically relevant detail, making it an exact equivalent."
Subacute and chronic vulvitis,35209386,Subacute and chronic vulvitis,-1,no_match,"The source term specifies vulvitis limited to subacute AND chronic phases, expressly excluding acute cases. Among the candidate concepts, those referring only to chronic vulvitis or only to subacute vulvitis are too narrow, while the generic “Vulvitis” concept is too broad because it includes acute forms. No candidate exactly represents the combined category “Subacute and chronic vulvitis,” so no exact clinical equivalent is available in the provided list."
Noninflammatory disorder of vagina,35209457,"Noninflammatory disorder of vagina, unspecified",195867,Noninflammatory disorder of the vagina,"Concept 195867 ""Noninflammatory disorder of the vagina"" is an exact clinical equivalent: it matches the anatomic site (vagina) and the qualifier ""noninflammatory"" without adding or omitting any clinical detail. All other candidates are either broader (e.g., disorders of female genital organs, disorder of vagina) or refer to different sites (vulva, cervix) or involve inflammation, so they do not meet the specificity requirements."
Newborn affected by maternal complications of pregnancy,35210412,Newborn affected by other maternal complications of pregnancy,-1,no_match,"The source term describes neonatal conditions specifically attributable to maternal complications of pregnancy (i.e., cause = maternal complication, period = newborn/neonatal).  

• Concepts that refer to ""fetal"" disorders (e.g., 37167888 ""Fetal disorder due to maternal disorder during pregnancy"") are inappropriate because they concern the fetus before birth, not the newborn.  
• Concepts that cover maternal complications themselves (e.g., 43530950 ""Complication occurring during pregnancy"") lack the neonatal aspect.  
• 3010191 ""Newborn complication"" is broader—it does not require the maternal complication etiology.  
• 37167889 ""Early neonatal disorder due to maternal disorder during pregnancy"" is too specific (limited to the first 7 days of life, a subset of the full newborn period up to 28 days) and therefore over-specifies the source term.  
• All other candidates are either fetal-only, maternal-only, or specify particular maternal conditions (e.g., hypertension, trauma), making them more specific or different in scope.  

No candidate exactly matches the scope and specificity of ""Newborn affected by maternal complications of pregnancy,"" so no suitable standard concept is available among the provided options."
Transitory disorder of carbohydrate metabolism of newborn,35210614,"Transitory disorder of carbohydrate metabolism of newborn, unspecified",-1,no_match,"The source term requires three key elements: 1) disorder of carbohydrate metabolism, 2) occurring in the newborn, and 3) explicitly transient/transitory. 
• Concept 437515 (""Disorder of carbohydrate metabolism"") lacks the neonatal and transient qualifiers (too broad). 
• Concept 4171097 (""Perinatal disorder of glucose regulation of fetus and/or neonate"") omits the transient nature (too broad). 
• Concepts such as 4171099 (""Transitory neonatal hypoglycemia""), 4173185 (""Transient neonatal hyperglycemia""), 4129378 (""Transient neonatal diabetes mellitus""), etc., are restricted to specific carbohydrate disturbances (hypoglycemia, hyperglycemia, diabetes) and are therefore more specific than the general “disorder of carbohydrate metabolism” (too narrow). 
• Concept 37170255 (""Neonatal transient metabolic disturbance"") is transient and neonatal but not limited to carbohydrate metabolism (too broad). 
No candidate simultaneously satisfies all three required attributes without being broader or narrower, so no exact match exists among the provided targets."
Congenital malformation of anterior segment of eye,35210756,"Congenital malformation of anterior segment of eye, unspecified",436805,Congenital anomaly of anterior segment of eye,"Concept 436805 (Congenital anomaly of anterior segment of eye) conveys the same clinical idea as the source term— a congenital malformation/anomaly involving the anterior segment of the eye. It matches the body region (anterior segment) and congenital nature without adding or omitting specificity. Other candidates are either narrower (e.g., only anterior chamber or angle anomalies) or broader/different (e.g., entire eye or posterior segment)."
First degree AV block,35226391,AV block first degree,314379,First degree atrioventricular block,"The target concept ""First degree atrioventricular block"" (ID 314379) is the exact clinical equivalent of the source term. It preserves the same degree (first), location (atrioventricular conduction), and nature (block). Other candidates are either broader (""Partial atrioventricular block""), different degrees (second or complete), or related findings (""Prolonged PR interval"") that do not explicitly specify first-degree AV block. Hence 314379 is the only precise match."
Hepato-lenticular degeneration,35306057,Hepato-lenticular degeneration,4229262,Wilson's disease,"""Hepato-lenticular degeneration"" is the historical and synonymous name for Wilson’s disease, a hereditary disorder of copper metabolism affecting liver and basal ganglia (lenticular nucleus). Concept 4229262 “Wilson's disease” lists “Hepatolenticular degeneration” among its exact synonyms, matching the source term without adding or omitting clinical detail. No other candidate is equivalent without over- or under-specification."
Peritoneal infection,35708029,Peritoneal infection,443796,Infectious peritonitis,"The source term denotes any infectious process involving the peritoneum. The SNOMED concept 443796 ""Infectious peritonitis"" is defined as an infection of the peritoneum and is neither broader (excludes non-infectious peritonitis) nor narrower (does not limit by pathogen, acuity, etiology, or context). Other candidates are either broader (e.g., ""Peritonitis"" includes non-infectious causes) or narrower/add additional constraints (e.g., ""Bacterial peritonitis"" specifies pathogen, ""Primary peritonitis"" specifies etiology). Therefore, concept 443796 is the exact clinical equivalent."
Partial small intestinal obstruction,35738840,Partial small intestinal obstruction,4181798,Partial obstruction of small bowel,"Concept 4181798 is explicitly ""Partial obstruction of small bowel"", synonymous with ""Partial obstruction of small intestine"". It preserves both required elements of the source term: (1) an obstruction of the small intestine/bowel and (2) that the obstruction is partial rather than complete. No additional details are added and none are omitted, so it is an exact clinical equivalent. All other candidates are either more general (e.g., obstruction of any intestine) or different in severity/completeness, and therefore do not meet the exact-match criteria."
Delayed healing,35843794,Healing delayed,-1,no_match,"None of the candidate concepts matches the source term at the same level of specificity. Concepts such as 'Delayed healing of wound' or 'Impaired wound healing' add a wound-specific detail that is not present in the source, making them over-specific, while 'Impaired tissue repair' is broader than just delayed healing. Therefore no exact clinical equivalent is available among the candidates."
Infection following induced abortion,36110511,Induced abortion infection,43530964,Induced termination of pregnancy complicated by infectious disease,"The source term describes any infectious complication occurring after an induced abortion without specifying site, severity, or completeness of the procedure. Concept 43530964 (“Induced termination of pregnancy complicated by infectious disease”) captures exactly this scenario: an infectious disease (i.e., infection) as a complication of an induced termination of pregnancy. It preserves the same clinical context and level of specificity—no added details (e.g., genital-pelvic only, sepsis, incomplete/complete abortion) and no loss of information. Other candidates are either too specific (e.g., limited to genital-pelvic infection, sepsis, incomplete abortion) or too general (postprocedural infection without linking to induced abortion)."
Epstein-Barr virus infection,36110888,Epstein-Barr virus infection,4345472,Epstein-Barr virus disease,"The source term describes the clinical condition of being infected with Epstein-Barr virus. Concept 4345472 ""Epstein-Barr virus disease"" in SNOMED is a disorder representing illness caused by Epstein-Barr virus and has parent concepts ""Epstein-Barr virus infection / EBV infection,"" indicating equivalence in clinical meaning. It is neither more general (it still specifies EBV) nor more specific (does not restrict to a particular manifestation, site, chronicity, or congenital status). Other candidates represent the virus itself, laboratory tests, specific manifestations (e.g., mononucleosis, hepatitis), congenital or chronic forms, or unrelated categories, and therefore are not equivalent. Hence, concept 4345472 is the single best match."
Increased respiratory rate,36315364,Respiratory rate increased,317376,Tachypnea,"The source term denotes a clinical finding of an abnormally elevated breathing rate. The SNOMED concept 317376 ""Tachypnea"" is defined as an increased (rapid) respiratory rate and is routinely used synonymously with ""increased respiratory rate."" It preserves the exact clinical detail (rate increased) without adding or omitting any specificity. All other candidates are either broader (e.g., ""Abnormal respiratory rate"") or represent measurements, procedures, or different respiratory findings. Therefore, concept 317376 is the exact clinical equivalent."
Left knee effusion,36569193,Effusion (l) knee,36684501,Effusion of joint of left knee,"The target concept ""Effusion of joint of left knee"" has identical clinical meaning to the source term: both describe a joint effusion located in the left knee with no added qualifiers (severity, chronicity, cause). It preserves specificity (laterality and site) without adding or omitting details, thus fulfilling the exact match criteria."
Progression of multiple sclerosis,36774769,Progression of multiple sclerosis,-1,no_match,"None of the candidate concepts exactly represents the general notion of disease progression in multiple sclerosis. 
• 4102337 (Exacerbation of multiple sclerosis) refers to an acute relapse/flare, which is only one specific form of worsening and therefore more specific than the source term.
• 37311816 (Progressive multiple sclerosis) and its subtypes (primary, secondary, progressive-relapsing) describe distinct clinical phenotypes of MS, not the event of progression itself, and add details not stated in the source term.
• All other candidates are either different diseases, generic progression findings, management procedures, or staging modifiers.
Because no candidate exactly captures “progression of multiple sclerosis” without adding or omitting clinical details, no suitable match is found."
Poverty of thought content,36919008,Poverty of thought content,4209458,Poverty of thought,"The SNOMED concept 4209458 ""Poverty of thought"" represents the same clinical phenomenon—a quantitative/qualitative reduction in the content of thought. Its hierarchy explicitly includes the parent ""Poverty of thought content,"" confirming equivalence. All other candidates are either broader (e.g., ""Finding of thought content""), different phenomena (e.g., ""Poverty of speech""), or unrelated (financial poverty, facial expression). Thus 4209458 is the single exact match."
Emotional disorder,36919045,Emotional disorder,-1,no_match,"None of the candidate concepts is an exact clinical equivalent of the vague umbrella term ""Emotional disorder.""  The closest candidates (e.g., 444100 Mood disorder) are narrower sub-types, while others such as 432586 Mental disorder are broader.  All remaining candidates add additional qualifiers (childhood onset, behavioral component, labile, etc.).  Because no candidate preserves the same level of generality and clinical meaning, there is no suitable match."
Malnutrition-related diabetes mellitus with coma,37082072,"Malnutrition-related diabetes mellitus, with coma",4221933,Coma due to malnutrition-related diabetes mellitus,"The candidate concept ""Coma due to malnutrition-related diabetes mellitus"" explicitly represents a coma that is a complication of malnutrition-related diabetes mellitus, thus capturing both the specific diabetes subtype (malnutrition-related) and the presence of coma. No additional details (e.g., ketoacidosis, hyperosmolarity) are introduced, and no information from the source term is lost. This is an exact clinical equivalent; all other candidates are either too general (e.g., coma due to diabetes mellitus) or include extra specifics (e.g., ketoacidosis) or omit coma altogether."
Diabetes mellitus due to malnutrition with multiple complications,37082094,Diabetes mellitus in connection with deficient nutrition or malnutritionwith multiple complications: Not described as derailed,-1,no_match,"None of the candidate concepts simultaneously capture both the malnutrition-related etiology of the diabetes and the explicit presence of multiple complications. Each candidate is either missing the malnutrition cause (e.g., Diabetes mellitus with multiple complications), missing the specification of multiple complications (e.g., Malnutrition related diabetes mellitus), or represents only the complications themselves rather than the underlying diabetes (e.g., Disorder due to malnutrition related diabetes mellitus). Therefore, no exact clinical equivalent exists among the provided targets."
Diabetes mellitus with peripheral vascular complications,37082127,Other specified diabetes mellitus: With peripheral vascular complications: Not reported as derailed,321822,Peripheral vascular disorder due to diabetes mellitus,"The source term indicates diabetes mellitus that has resulted in peripheral vascular complications. Concept 321822 (""Peripheral vascular disorder due to diabetes mellitus"") explicitly represents a peripheral vascular disorder caused by diabetes mellitus without specifying diabetes type or adding extra detail. It preserves all the clinical information contained in the source term (presence of diabetes mellitus and its peripheral vascular complication) while neither broadening (still requires the vascular complication) nor over-specifying (does not limit to type 1, type 2, or secondary forms). Therefore, it is an exact clinical equivalent."
Cannabinoid withdrawal state with delirium,37082661,"Mental and behavioural disorders due to use of cannabinoids, withdrawal state with delirium",-1,no_match,"The source term requires BOTH (1) withdrawal from cannabinoids/cannabis and (2) the presence of delirium. 
• 45766641 ""Cannabis withdrawal"" and 42537774 ""Synthetic cannabinoid withdrawal"" cover withdrawal but lack the delirium component.
• 4220197 ""Cannabis intoxication delirium"" and 1448951 ""Delirium caused by cannabis"" include delirium but refer to intoxication/acute use, not withdrawal.
• 37309681 ""Delirium due to substance withdrawal"" includes delirium during withdrawal but is too general because it does not specify cannabinoids.
No candidate preserves both the specific substance (cannabinoid) and the withdrawal-related delirium, so an exact clinical equivalent is absent."
Nerve root and plexus compression,37083523,Nerve root and plexus compressions in other dorsopathies,-1,no_match,"None of the candidate concepts corresponds exactly to ""Nerve root and plexus compression"" without adding etiologic qualifiers or omitting either nerve roots or plexuses. Some options (e.g., ""Compression of spinal nerve root"") omit plexus involvement (too narrow), while others (e.g., ""Lesion of nerve root and/or plexus"") include non-compression lesions (too broad). Concepts limited to spondylosis or disc disease add unwarranted specificity. Therefore no exact clinical match is present among the targets."
Glaucoma secondary to eye trauma,37084048,Glaucoma secondary to eye trauma,440396,Glaucoma due to ocular trauma,"Concept 440396 ""Glaucoma due to ocular trauma"" specifies glaucoma that is secondary to (i.e., caused by) eye/ocular trauma, exactly matching the etiology stated in the source term without adding further details such as laterality or glaucoma subtype. All other candidates are either more specific (e.g., specify eye side, perforating injury, open-angle) or describe a different condition (ocular hypertension, cataract), violating specificity rules. Therefore 440396 is the single clinically equivalent standard concept."
Nonrheumatic tricuspid valve insufficiency,37084578,Nonrheumatic tricuspid (valve) insufficiency,4111412,"Tricuspid incompetence, non-rheumatic","Concept 4111412 (""Tricuspid incompetence, non-rheumatic"") explicitly describes non-rheumatic insufficiency/regurgitation (incompetence) of the tricuspid valve, matching the source term in affected valve, pathophysiology (insufficiency/regurgitation), and etiology (non-rheumatic). It is neither broader (excludes rheumatic forms) nor more specific (does not add stenosis or severity details) than the source term. All other candidates are either broader (e.g., generic tricuspid regurgitation) or add additional features (e.g., stenosis) or wrong valve, so 4111412 is the single exact clinical equivalent."
Nonruptured cerebral aneurysm,37084767,"Cerebral aneurysm, nonruptured",-1,no_match,"The source term explicitly specifies a cerebral (intracranial) aneurysm that is *non-ruptured*. None of the candidate concepts capture this exact qualifier: most either do not specify rupture status (e.g., 'Aneurysm of cerebral artery', 'Intracranial aneurysm')—thus being broader—or they explicitly describe *ruptured* aneurysms, or add other specifications such as congenital, acquired, or specific arterial location. Because no candidate preserves the required ‘nonruptured’ detail without adding or omitting other clinical information, no exact match exists among the provided concepts."
Rubella without complication,37085900,Rubella without complication,-1,no_match,"The source term specifies rubella infection explicitly ""without complication,"" excluding complicated manifestations (e.g., encephalitis, arthritis, pneumonia). The closest target, concept 4273323 ""Rubella,"" is a parent concept that encompasses all rubella infections, including complicated forms, making it broader than the source. No candidate concept preserves the required restriction to uncomplicated cases without adding or omitting clinical details. Therefore, no exact match is available among the provided concepts."
Rheumatoid bursitis,37087035,"Rheumatoid bursitis, other",-1,no_match,"None of the candidate concepts combines both required elements—inflammation of a bursa (bursitis) specifically attributable to rheumatoid pathology. Concepts such as 'Bursitis' are too general (missing rheumatoid etiology), while 'Rheumatoid arthritis' and its subtypes describe joint arthritis, not bursitis. Therefore, no exact clinical equivalent is present among the provided targets."
